date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:37	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:33%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/ui-icons_228ef1_256x240.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/ui-icons_228ef1_256x240.png	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
22:33:37	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:33%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/ui-icons_ffd27a_256x240.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/ui-icons_ffd27a_256x240.png	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
22:33:37	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:33%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/ui-bg_diagonals-thick_20_666666_40x40.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/ui-bg_diagonals-thick_20_666666_40x40.png	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
22:33:38	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:34%20GMT	http://dev.sunrisetheme.com/html-lyon/css/images/ui-bg_flat_10_000000_40x100.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/css/images/ui-bg_flat_10_000000_40x100.png	(from http://dev.sunrisetheme.com/html-lyon/css/jquery-ui.css)
22:33:38	4103/4103	---M--	200	added ('OK')	image/png	etag:%2256446cdb-1007%22	http://dev.sunrisetheme.com/html-lyon/images/next.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/images/next.png	(from http://dev.sunrisetheme.com/html-lyon/css/event.css)
22:33:39	4141/4141	---M--	200	added ('OK')	image/png	etag:%2256446cdc-102d%22	http://dev.sunrisetheme.com/html-lyon/images/prev.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/images/prev.png	(from http://dev.sunrisetheme.com/html-lyon/css/event.css)
22:33:41	30306/30306	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256446dd2-7662%22	http://dev.sunrisetheme.com/html-lyon/revolution/js/extensions/revolution.extension.layeranimation.min.js	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from http://dev.sunrisetheme.com/html-lyon/)
22:33:42	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2256446dd0-2f68%22	http://dev.sunrisetheme.com/html-lyon/revolution/fonts/revicons/revicons.eot?5510888	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/fonts/revicons/revicons90c6.eot	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:42	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%2256446dd1-1d70%22	http://dev.sunrisetheme.com/html-lyon/revolution/fonts/revicons/revicons.woff?5510888	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/fonts/revicons/revicons90c6.woff	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:42	13691/13691	---M--	200	added ('OK')	image/svg+xml	etag:%2256446dd0-357b%22	http://dev.sunrisetheme.com/html-lyon/revolution/fonts/revicons/revicons.svg?5510888	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/fonts/revicons/revicons90c6.svg	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:43	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%2256446dc9-146%22	http://dev.sunrisetheme.com/html-lyon/revolution/css/openhand.cur	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/css/openhand.cur	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:43	11968/11968	---M--	200	added ('OK')	application/octet-stream	etag:%2256446dd1-2ec0%22	http://dev.sunrisetheme.com/html-lyon/revolution/fonts/revicons/revicons.ttf?5510888	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/fonts/revicons/revicons90c6.ttf	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:43	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%2256446dc8-146%22	http://dev.sunrisetheme.com/html-lyon/revolution/css/closedhand.cur	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/css/closedhand.cur	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:44	933/933	---M--	200	added ('OK')	image/png	etag:%2256446dc7-3a5%22	http://dev.sunrisetheme.com/html-lyon/revolution/assets/gridtile.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/assets/gridtile.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:44	931/931	---M--	200	added ('OK')	image/png	etag:%2256446dc7-3a3%22	http://dev.sunrisetheme.com/html-lyon/revolution/assets/gridtile_white.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/assets/gridtile_white.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:45	938/938	---M--	200	added ('OK')	image/png	etag:%2256446dc7-3aa%22	http://dev.sunrisetheme.com/html-lyon/revolution/assets/gridtile_3x3.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/assets/gridtile_3x3.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:45	935/935	---M--	200	added ('OK')	image/png	etag:%2256446dc7-3a7%22	http://dev.sunrisetheme.com/html-lyon/revolution/assets/gridtile_3x3_white.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/assets/gridtile_3x3_white.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:45	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:41%20GMT	http://dev.sunrisetheme.com/html-lyon/revolution/images/gradient/g30.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/images/gradient/g30.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:46	99980/99980	---M--	200	added ('OK')	image/png	etag:%2256446d67-1868c%22	http://dev.sunrisetheme.com/html-lyon/images/upload/lightbox.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/images/upload/lightbox.png	(from http://dev.sunrisetheme.com/html-lyon/css/event.css)
22:33:46	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:42%20GMT	http://dev.sunrisetheme.com/html-lyon/revolution/images/gradient/g40.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/images/gradient/g40.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:46	184/184	---M--	200	added ('OK')	image/png	etag:%2256446dc7-b8%22	http://dev.sunrisetheme.com/html-lyon/revolution/assets/coloredbg.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/assets/coloredbg.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:47	2545/2545	---M--	200	added ('OK')	image/gif	etag:%2256446dc7-9f1%22	http://dev.sunrisetheme.com/html-lyon/revolution/assets/loader.gif	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/assets/loader.gif	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:47	4141/4141	---M--	200	added ('OK')	image/png	etag:%2256446dc8-102d%22	http://dev.sunrisetheme.com/html-lyon/revolution/assets/prev.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/assets/prev.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:48	4103/4103	---M--	200	added ('OK')	image/png	etag:%2256446dc7-1007%22	http://dev.sunrisetheme.com/html-lyon/revolution/assets/next.png	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/revolution/assets/next.png	(from http://dev.sunrisetheme.com/html-lyon/revolution/css/settings.css)
22:33:49	2971/2971	---M--	200	added ('OK')	image/gif	etag:%2256446cde-b9b%22	http://dev.sunrisetheme.com/html-lyon/images/stars_crystal/rating_off.gif	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/images/stars_crystal/rating_off.gif	(from http://dev.sunrisetheme.com/html-lyon/rooms-listing-grid-3-columns.html)
22:33:50	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Nov%202015%2021:33:46%20GMT	http://dev.sunrisetheme.com/html-lyon/js/owl.carousel.js	/Users/trupi/websites/bookingManager/dev.sunrisetheme.com/html-lyon/js/owl.carousel.js	(from http://dev.sunrisetheme.com/html-lyon/single-room.html)
